Chinese	Translated
測試青龍幫眾	청룡우군을 시험한다
漁夫	어부
摩尼教主	마니교주
神秘老人	신비노인
男子	남자
落魄老人	넋이 나간 노인
飛白派掌門_白仙	비백파장문_백선
飛白掌門	비백 장문
劍鋒派掌門_夏侯允	검봉파장문_하후윤
劍鋒掌門	검봉 장문
八法門掌門_楊盅	팔법문장문_양충
八法掌門	팔법 장문
八法門弟子	팔법문제자
神機掌門	신기장문
鏢局鏢頭	표국 표두
阿喜	아희
女子	여자
少林方丈	소림방장
債主	채권자
守衛	수위
裝備商人	장비상인
富商	거상
戲台主人	무대주인
張全興	장전흥
暗器商人	암기 상인
游不規	유불규
師爺	사부
民眾	민중
當鋪老闆	전당포 주인
算命仙	점쟁이
碼頭貨管	부두하역관
文人	문인
酒廠老闆	술집주인
林克達	임극달
林天師	임천사
煉丹方士	연단방사
蒙面殺手	복면살수
苦惱民眾	고뇌하는 민중
倒楣民眾	재수없는 민중
糖葫蘆販	당호로상인
秦家莊僕人	진가장 하인
魚店夥計	생선가게점원
點心鋪老闆	과자가게노야
茶鋪小二	차 가게 점소이
包子夥計	만두점원
雜貨商人	잡화상인
何總管	하총관
水井坊夥計	수정방 점원
麵攤老闆	국수상인
水果攤販	과일 상인
酒攤老闆	술집주인
村民	촌민
賭客	도박장 손님
戈韭菜	창부추
魚店老闆	생선가게주인
酒館廚師	주점 요리사
村長	촌장
黃正	황정
何峰	하봉
賀倫	하륜
孫悟蟲	손오충
老張	노장
三不欺老闆	삼불기점주
老王	왕씨
阿酉	아유
酒客	주객
舞台看客	무대 관람객
香舖老闆	향가게 주인
農婦	농촌 아낙
市場攤販	시장노점
金燕	금연
薛婕麗	설첩려
王阿麻	왕아마
賀圓圓	하원원
攤販女3	노점여자3
東陽村民	동양촌민
張嫂	장아주머니
摩尼信眾	마니신도
婆婆媽媽	파파마마
五嬸	오숙모
民婦	여자백성
玉石匠	옥석공
蘇大福	소대복
地痞	불량배
木匠	목수
武林人士	무림인사
碼頭工人	부두인부
張龍騰	장용등
夭壽叔	장수
常客	단골손님
袁承犀	원승서
秦家莊掌事	진가장수사
李好財	이호재
開朗農夫	명랑한 농부
老奴僕	늙은시종
奉茶人	차 마시는 사람
公羊掌門	수양장문
老人	노인
吐蕃酒商	토번주상인
狂人	광인
駝子	곱추
老婦人	노부인
村長夫人	촌장 부인
張氏	장씨
李婆婆	이노파
家屬	식솔
布莊老闆	포목점 주인
李嬸	이씨 아주머니
大嬸	큰숙모
圍觀大嬸	구경하는 아줌마
三姑	삼모
穹雲派弟子	궁운파제자
秦文	진문
穹雲弟子	궁운제자
黑衣人	흑의인
飛白弟子	비백제자
青龍幫眾	청룡우군
虎嘯弟子	호소제자
黑衣人頭目	흑의인두목
張虎躍	장호약
小廝	소시
阿竹	아죽
朱面	주면
釀酒師傅	양조기술자
慕亦寒	모역한
司徒羽	사도우
古若塵	고약진
守牢弟子	감옥을 지키는 제자
司徒玄	사도현
仲孫拓	중손탁
劍鋒弟子	검봉제자
虎嘯守門	호소수문
鳴幫弟子	명방제자
二弟子	이제자
虯髯虎	규염호
劍爪虎	검조호
銀鬃虎	은종호
丹面虎	단면호
錦毛虎	금모호
李臥虎	이와호
武人	무인
阿宅	아가
江湖人士	무림인
淌屎門人	땀흘리는사람
窮鬼	가난뱅이
狂人之徒	광인지도
盜賊	도적
賴癩	나병환자
鏢師	표사
馬友之	마우지
反對和尚	반대하는 화상
八法弟子	팔법제자
法悟	법오
少林弟子	소림제자
神機門人	신기문인
鏢局人士	표국 인사
少林人士	소림인사
鏢局弟子	표국제자
戒業	계업
戒德	계덕
戒惑	계혹
少林銅人	소림동인
僧人師弟	승려사제
僧人	승려
排場僧	배장승
劉洪杏	유홍행
喝花酒女子	술마시는여자
老僕人	하인
程霓霓	정예예
首飾商人	장신구상인
游琴曼	유금만
楊公子	양 공자
黑市商人	암시장 상인
苦惱男子	고민중인 남자
東門飛燕	동문비연
廚神大賽裁判	요리대회 심판
六婆	육부
九姨	구이모
圍觀群眾	구경꾼
可疑小孩	수상한 아이
李饅頭	이만두
戈小弟	고동생
老鷹	노응
小皮	소피
小寶	소보
狼狼鏢頭	랑랑표두
托鏢人小義	소의
小星	소성
小明	소명
柯南道	가남도
鄭小屁	정소귀
公羊弟子	수양사제
被綁小孩	포박당한 아이
徐小福	서소복
龐嫣	방언
臭小鬼	비열한동생
義學女孩	소녀 의사
小妤	여위
小桃	소도
小天	소천
小蘋果	소빈과
小光	소광
孩童	아이
小女孩	어린여자아이
元小香	원소향
守門人	문지기
地下賭頭	지하도박사
賭場嘍嘍	노름쟁이
旺財	왕재
來福	내복
貪官	탐관
武館主人	무관 주인
惡劣盤商	악질상인
惡霸	악당
倉庫守衛	창고지기
雜耍藝人	기예사
劉德青	유덕청
摩尼教徒	마니교도
魚腸弟子	어장제자
殺手頭目	살수 두목
官差	관차
洛陽衙役	낙양하인
皇宮守衛	황궁경비병
秦武	진무
大夫	대부
劉斗青	유두청
李伏虎	이복호
下棋的人	바둑두는사람
愛貓村民	애묘주민
公子哥	공자
廚神大賽主持	요리대회 사회자
釣客	낚시꾼
富家公子	부잣집 도련님
窮書生	가난한서생
騷人	시인
墨客	문인
孩子的娘	아이 엄마
大小姐	대소저
毛麗蘭	모이란
舞芍	무작
詩芙	시부
詠蓮	용연
繪梅	화매
黃花閨女	황화규녀
鄧翎兒	등령아
原摩尼教徒	마니교도
老乞丐	늙은 거지
洛陽情報npc	낙양정보npc
杭州情報npc	항주정보npc
趙匡胤	조광윤
花魁	화괴
僧侶	승려
通緝犯	수배범
馬車	마차
洗衣車	세의거
馬車1	마차1
馬車2	마차2
馬車3	마차3
馬車4	마차4
馬車5	마차5
馬車6	마차6
大寶	대보
老虎	노호
二寶	이보
貓咪	고양이
壞脾氣貓	성질나쁜 고양이
大胖	대반
主角	주각
妽兒	조카
來路不明的女俠。	정체불명의 여협
少女	소녀
摩尼教教主	마니교교주
神秘男子	신비남자
看來瘋癲真假難分，體格似有練武又似弱不經風，奇怪的大叔。	미친 듯 아닌 듯 무공을 배운 것 같아 보이면서도 약해 보이는 종잡을 수 없는 별난 아저씨。
崔大人	최대인
老伯	아저씨
一身肥胖樣，身手卻意外快速，看來一般招式難對他造成有效傷害。	온 몸이 뚱뚱하지만，의외로 날쌔다，일반적인 무공은 효과적인 손상을 주지 못하는 것 같다。
神秘女子	신비여자
看似鄰家女孩的女子，但笑裡藏刀。	옆집 여자 처럼 보이지만，웃음 속에 칼을 숨기고 있다。
人如其名，邊笑邊砍人，笑中帶瘋。	이름처럼，사람을 웃으면서 베고，웃음속에 광기가 있다。
人如其名，怒不可擋，口出惡言，招中帶狂。	이름처럼，화를 멈출 수 없고，악담을 퍼부으며，미친 사람처럼 움직인다。
人如其名，邊哭邊砍人，真假難辨。	이름처럼，울면서 사람을 베고，진위를 구분하기 어렵다。
江文順	강문순
肥順仔	비순자
蔡洪申	채홍신
知縣李大人	지현 이대인
開封府尹	개봉 부윤
張大富	장대부
主廚	주방장
文臣	문신
酒商張老闆	술집 주인
張老闆	장사장
儒南	유남
阿水	아수
古陽堂老闆	고양당주인
租車老闆	마차임대상
王商人	왕상인
藥舖大夫	약방대부
伙夫趙二	취사원 조이
伙夫吳一	취사원 오일
雜役許三	잡역허삼
雜役孫五	잡역손오
杜建	두건
小西	소서
老雷	노뇌
劉豪	류호
阿狗	아구
徐仁	서인
茶攤小二	다방소이
小販	소상인
打雜的	잡역부
許懷泉	허회천
黃伯	황백
張士竟	장사경
老船夫	늙은 사공
熟睡男子	숙면 중인 남자
馬夫	마부
譚見隆	담현륭
微醺的客人	술취한손님
客人	손님
平民	평민
莊家	농부
吳良	오량
挑水工人	도수공인
伙計	화계
小妾	소첩
阿賴	아뢰
龐大娘	방대모
許小均	허소균
婦女	여인
菜攤農婦	채소 노점 농부
道場客人	도장 상인
道場常客	도장 단골손님
山賊王	산적왕
二愣子	얼간이
江帛會張三	강백회 장삼
江帛會李四	강백회 이사
江帛會王五	강백회 왕오
壯漢	장한
旅人	여행객
江帛會趙六	강백회 조육
江帛會孫二	강백회 손이
江帛會吳三	강백회 오삼
江帛會陳九	강백회 진구
江帛會許七	강백회 허칠
江帛會何一	강백회 하일
酒商打手趙六	술장수 졸개 조육
水井坊張老闆僱用的打手，對不請自來者，絕不手下留情。	수정방 주인 장씨가 고용한 졸개로，절대 사정을 봐주지 않는다。
酒商打手吳三	술장수 졸개 오삼
酒商打手許七	술장수 졸개 허칠
酒商打手孫六	술장수 졸개 손육
酒商打手何五	술장수 졸개 하오
壯漢王五	장한 왕오
看來就一臉兇神惡煞，絕非善類的強壯男人。	보기에 흉악한 얼굴로，결코 선량한 강한 남자처럼 보이지 않는다。
壯漢吳四	장한 오사
酒商打手趙二	주상이 부리는 조이
水井坊張老闆僱用的貼身保鑣。	수정방 주인 장씨가 자신을 지키기 위해 고용한 호위。
酒商打手吳一	주상이 부리는 오일
船夫小陳	사공 소진
肉攤小李	정육 소이
船員	선원
船長	선장
船匠	선장
船工	선공
搬運工	짐꾼
青龍幫主	청룡방주
韓祈	한기
醉翁	취옹
老人家	노인장
喜出望外的農夫	기뻐하는 농부
悲傷的農夫	슬퍼하는 농부
龐老爹	방아저씨
老翁	노인
老農夫	늙은 농부
何公舒	하공서
老船員	노선원
老酒客	노주객
鳴幫老人	명방노인
老頭	늙은이
山寨婆婆	산채파파
文順之母	문순지모
憂鬱的婆婆	우욱적파파
老婦女	나이든 여인
釀酒坊婦人	양조장 부인
婆婆	할머니
弄婆	노파
醉生樓老闆	취생루 주인
劍鋒派高手	검봉파고수
文雀	문작
幫派份子	파벌분자
鳴幫阿傻	명방아사
鳴幫阿愣	명방오능
穹雲幫主	궁운방주
穹雲幫眾	궁운우군
副幫主	부방주
穹雲少主	궁운소주
莊玉郎	장옥랑
唐衍	당연
主持人	주지인
杜儀康	두의강
唐舟彷	당주방
羅人薄	라인박
趟子手	쟁자수
鏢師
陳鏢師	진 표사
鏢師王五	표사 왕오
鏢師張八	표사 장팔
鏢師吳四	표사 오사
鏢師劉一	표사 유일
許鏢師	허표사
李鏢師	이표사
鄭鏢師	정표사
朱鏢師	주표사
王鏢師	왕표사
吳鏢師	오표사
秦少	진소
林耕宏	임경홍
悟遠和尚	오원스님
打鐵學徒	대장장이 견습생
劍鋒女弟子	검봉여제자
飛白女弟子	비백여제자
璃兒	리아
劍鋒派女弟子	검봉파여제자
鳴幫女子	명방여자
鏢局女子	표국여자
丫環	몸종
八法女弟子	팔법여제자
袖兒	수아
白媄	백미
王妻	왕처
小狗子	소구자
小傻	소사
小蕾	소뢰
小娟	소연
春兒	춘아
大頭仔	대두자
老豬仔	노저자
大狗子	대구자
刀疤仔	도파자
老粗	노조
兔佬	토료
好色陳	호색진
孫九	손구
李建誠	이건성
粗魯袁	조로원
山賊	산적
竊賊	도둑
余一粟	여일속
摩尼守衛	마니수위
摩尼教眾	마니교인
白蓮	백련
神秘人	신비인
林不平	임불평
衙役陳五	아역
主簿	주부
獄卒    옥졸
衙役	아역
衙役	관아
將軍	장군
侍衛	시위
算命師	산명사
書生	서생
儒生	유생
鄉民	향민
書畫攤老闆	서화당노인
李後主	이후주
仲友	중우
男客人	남자 손님
張守美	장수미
幼芬	유분
春香	춘향
夏梅	하매
冬豔	동염
宮女	궁녀
女客人	여자손님
娟兒	연아
吳作	오작
吳七	오칠
懶乞丐	게으른거지
酒臭味乞丐	술주정뱅이 거지
趙媛	조원
藥王蛇	약왕사
水絲蛇	물뱀
蒼鷹	창응
上官虹玲	상관홍령
戰鬥測試-上官	전투측시-상관
宓玥她爸	복월아버지
老神醫-黃耆	노신의-황기
自稱鐵匠的男子	자칭대장장이남자
風流男子	풍류남
李瑤	리요
府尹	부윤
李雜悟	이잡우
參回春	참회춘
謝添命	사첨명
摩尼教信徒	마니교신도
林易嵐	림역람
掌櫃	상점주인
江湖郎中	강호낭중
戰鬥測試1	전투측시1
新來的小販	새로운 행상인
材料商販	재료상인
馬霍	마곽
駝伕    낙타
忠德	충덕
中德	중덕
重德	중덕
綜德	종덕
棕德	종덕
顯雲	현운
先雲	선운
現雲	현운
賢雲	현운
閒雲	한운
至安	지안
知安	지안
致安	치안
執安	집안
資安	자안
衣戌蓉	의술용
薛婕鶯	설청앵
許小昀	허소윤
村婦	촌부
吆喝姑娘	요갈고낭
吆喝大姊	요갈대자
吆喝小妹	요갈소매
戰鬥測試4	전투측시4
人傑	인걸
戰鬥測試2	전투측시2
涂爺	도야
釀酒商	양주상인
貧窮老人	가난한 노인
余捉嫌	여착혐
韓不醉	한불취
飢餓老人	배고픈 노인
戰鬥測試3	전투측시3
演戲婆婆	연기하는 할머니
徐奶奶	서할머니
迷糊婦人	미부인
王婆婆	왕파파
戰鬥測試5	전투측시5
遊客	유객
飛白派弟子	비백파제자
劍不羈	검불기
劍氏兄弟	검씨형제
劍無絆	검무반
佐範仲	좌범중
右進莒	우진거
飛白派男弟子	비백파남제자
劍鋒派弟子	검봉파제자
八法門男弟子	팔법문 남제자
神機門弟子	신기문제자
張鏢師	장표사
姚鏢師	요표사
周麗	주리
老鴇	노보
小李	이군
康兒	강아
面生的小孩	낯선 아이
鐵匠學徒	대장장이 학도
小芳	소향
筱婕	소첩
埋伏山賊	매복산적
惡棍	불량배
遠方的聲音	먼 곳의 소리
中毒的武者	중독된 무인
出血的武者	피가 나는 무인
重傷的武者	중상 입은 무인
跛腳的武者	다리 저는 무인
熱心人士	열성적인 사람
哈西富	합서부
摩尼教祭司	마니교사제
秦論劍	진론검
麵攤常客	국수단골
游姍	유산
游婷	유정
游蝴	유호
柳倩兒	류천아
小青	소청
妞妞	뉴뉴
小甄	소견
吳要販	오요판
髒乞丐	장걸개
臭乞丐	취걸개
梅初雪	매초설
木人	나무인형
演戲馬車	연극마차
駱駝	낙타
王胖子	왕반자
朱哥	주가
王窮奇	왕궁기
張五中	장오중
萬師爺	만사야
魯剛	노강
俞爺	유야
大金牙	대금아
桑吉仕	상길사
白南雲	백남운
林東	임동
王老闆	왕노판
唐生微	당생미
招克弟	소각제
阿包	아보
李洪	이홍
阿仁	아인
小刀	소도
車伕	차부
孟哲	맹철
小梁	소량
孫志	손지
康育	강육
鄭光	정광
畫商    화상
燕文貴	연문귀
王秀才	왕수재
黃一觴	황일상
阿禾	아화
管於中	관우중
阿遊	아유
鹿記	록기
連百陽	연백양
王建南	왕건남
阿賢	아현
楊檜	양회
余先	여선
家輝	가휘
謝寒	사한
魏非衛	위비위
阿汪	아왕
李鄴	이업
李雲	이운
岳金	악금
李唐	이당
孫預	손예
惠利	혜리
梁飾	양식
阿藻	아조
阿椒	아초
阿皿	아명
阿伊	아이
黃花	황화
林師弟	임사제
雙六哥	쌍육가
阿鵝	아아
黑面	흑면
阿文	아문
陶九	도구
阿旺	아왕
王楊	왕양
陶亞東	도아동
亞軒	아헌
周密	주밀
阿西	아서
魯翟	노적
陳娘	진낭
勢老闆	세노판
阿蠻	아만
阿菲	아비
浮雲	부운
胡八哥	호팔가
阿星	아성
朱龍	주룡
謝師弟	사사제
王師弟	왕사제
吳六二	오육이
李力世	이력세
逢克生	봉각생
藍阿虎	란아호
馬良	마량
席榮	석영
楚藝澤	초예택
老巴	젊은이
林自在	임자재
何群	하군
錢曉明	전효명
劉進	류진
楊遠	양원
趙漢典	조한전
粱生	양생
王維明	왕유명
重陽	충양
段玉	단옥
陸鏢師	육표사
張運	장운
李護	이호
道圓	도원
道滿	도만
道明	도명
道空	도공
李熙	이희
王桂花	왕계화
黃蓮	황련
李裝花	이장화
謝美環	사미배
阿舒	아서
阿春	아춘
楊沐	양목
林清月	임청월
古玉研	고옥연
李似月	이사월
木研希	목연희
楊雪麗	양설려
楊玉燕	양옥연
李萍	이평
華琪	화기
燕如花	연여화
小蘭	소란
古湘寧	고상저
陳心淩	진심릉
楊瑩	양옥
金賽蘭	금새란
吟杏	음행
茉莉	말리
林清	임청
小狗	소구
林丹水	임단수
恆行	항행
恆淨	항정
丸男	환남
長山	장산
學亮	학량
武雄	무웅
小玉	소옥
桃子	도자
土橋	토교
張師徒	장사도
林師徒	임사도
尚慈	상자
淑菁	숙청
左崇光	좌숭광
右昭陽	우소양
橋前守衛    교전수위
白昇	백승
余夕	여석
劉豹	류표
孫蛟	손교
許守御	허수여
吳仁範	오인범
徐子平	서자평
鄭泉	정천
劉伶	류령
張小虎	장소호
王曉明	왕소명
章文進	경문진
林丹山	임단산
史書長	사서장
沋郎	우랑
小倫	소론
史貪財	사탐재
易曉過	이사구
夏秦	하진
李逸	이일
石曼卿	석만경
義士劉	의사류
周彥邦	주언방
秦觀	진관
老闆	노판
逸才	일재
齊昊	제호
琴炎	금염
琴龍	금룡
王翰	왕한
易白	역백
王詰	왕문
周輝	주휘
白魯班	백노반
米符	미부
鄭專諸	정전제
假人	허수아비
掌門	장문
奇怪女子	기괴여자
虎嘯派掌門	호소파장문
奇怪男子	기괴남자
方丈	방장
王掌櫃	주인 왕씨
湯老闆	탕주인
唐生微	당생미
外地商人	외지상인
百史奇	백사기
契石	계석
小二	소이
吳寮	오료
朱大常	주대상
魏生津	위생진
買花瓶的男子	꽃병을 산 남자
范劍	범검
杜子腾	두자등
朱逸群	주일군
黃陽明	황양명
王重子	왕중자
點心販	과자 장수
劉二娘	유이랑
史珍香	사진향
龐光大	방광대
杜琦燕	두기연
楊陶芝	양도지
楊花	양화
王若蘭	왕약란
黃富貴	황부귀
黃花	황화
子千父親	자천 아버지
男村民	남자 촌민
陳漢	진한
楊聰	양총
蕭騰	소등
楊掌門	양 장문
小劍	소검
不明男子	모르는 남자
陳城	진성
勤勞的農夫	부지런한 농부
瓊丹心	경단심
開朗的農夫	명랑한농부
子千母親	자천 어머니
黃大娘	황대낭
女村民	여자 촌민
華嬸	화씨 아주머니
老太婆	노부인
小兄弟	소형제
子千	자천
王伏虎	왕복호
雲李	운리
張華	장화
揚眉派弟子	양미파제자
陸掌門	육 장문
君子堂弟子	군자당제자
泰北	태북
高雄	고웅
陸仁賈	육인가
買酒的男子	술을 산 남자
虎嘯派弟子	호소파제자
劍鋒派男弟子	검봉파남제자
華弟子	화제자
陳弟子	진제자
蕭弟子	소씨 제자
馬弟子	마 제자
薛子雲	설자운
萬華生	완화생
飛白派羅弟子	비백파나제자
劍鋒派李弟子	검봉파이제자
劍鋒派陳弟子	검봉파진제자
楊弟子	양 제자
男弟子	남제자
常智	상지
努力求學的和尚	배움을 얻기위해 노력하는 스님
年長的和尚	나이가 많은 스님
博學的和尚	박학한 스님
內斂的和尚	내성적인 스님
習武的和尚	연무중인 스님
年輕的和尚	젊은 스님
認真的和尚	진지한 스님
路過的和尚	지나가는 스님
慌張的和尚	당황한 스님
知客僧	지객승
掃地僧	소지승
武僧	무승
望空和尚	망공화상
禪僧	선승
僧值	승치
隨興和尚	수흥화상
王弟子	왕제자
李弟子	이제자
護衛	호위
船夫	뱃사공
姬从良	희종량
買畫的女子	그림을 산 여자
李桂花	이계화
飛白派女弟子	비백파여제자
女弟子	여제자
八法門女弟子	팔법문여제자
子千弟弟	자천의 동생
狗狗	강아지
頑皮的小男孩	장난이 심한 어린 소년
傻傻的小男孩	멍청한 어린 소년
可愛的小女孩	귀여운 여자아이
手下一元	부하 일원
手下兩津	부하 양진
手下阿七	부하 아칠
聶幫主	섭 방주
手下馬同	부하 마동
手下阿胡	부하 아호
笑嘻嘻	소희희
李母	이모
無惡	우악
不作	불작
人口販子	인신매매상
摩尼教教徒	마니교 교도
摩尼教手下	마니교 수하
蒙面人	복면인
劉十	류십
獄卒	옥졸
陳高進	진고진
小五	소오
滿臉通紅的酒客	얼굴이 붉은 주객
哀怨的酒客	애원하는 주객
誠實的酒客	점잖은 주객
流浪畫師	유랑화사
傲景天	오경천
石天彰	석천창
俠士	협사
黃氏	황 씨
農夫	농부
山賊	산적
嚴樂	엄락
黃耆	황기
昏迷的老人	혼미한 노인
郝冶仁	학야인
王惟一	왕유일
吳聰	오총
蔡萬貫	채만관
麵店老闆	면가게 주인
歐平	구평
周安	주안
李泉生	이천생
穆白	무백
書店老闆	서점 주인
羅溪	나계
馬東	마동
謝天機	사천궤
宿醉的酒客	술취한주객
貪吃的酒客	탐식한주객
好吃的酒客	즐기는주객
八卦的酒客	따분한주객
平凡的酒客	평범한 주객
好酒的商人	술집 상인
平凡的商人	평범한 상인
唐小貳	당소이
範舟	범주
姜尚	강상
蘇千	소천
宗澤	종택
何常開	하상개
張五十	장오십
路仁賈	노인가
路壬汀	노임정
宿醉的食客	술취한식객
貪吃的食客	탐식한식객
好吃的食客	즐기는식객
八卦的食客	따분한식객
平凡的食客	평범한 식당 손님
臭臉的攤販	익살스런노점상
平凡的攤販	평범한노점상
偷懶的攤販	게으른노점상
好吃的攤販	즐기는노점상
八卦的攤販	따분한노점상
賣風箏的商人	연 파는 상인
洛陽居民	낙양주민
洛陽攤販	낙양상인
黃氏獵戶	황가 사냥꾼
死人	죽은 사람
酒攤小販	노점상
肉舖小販	정육점 노점상
李二	리이
甘信	감신
香不忘	향불망
李建成	이건성
薛喜	설희
開封居民	개봉 주민
挑水男子	물지게꾼
段常仁	단상인
熱情的婦人	열정적 부인
八卦的婦人	따분한 부인
張嬸	장심
阿花	아화
阮清	완청
劉山	류산
游子水	유자수
鐵牛	철우
四兩	사량
王氏獵戶	왕가 사냥꾼
葉氏獵戶	엽가 사냥꾼
張青陽	장청양
吳大傻	오대사
鄭大豐	정대풍
蘇有祿	소유록
砍柴男子	나무꾼
盧白相	로백상
魁武的男子	괴상한 남자
老蒲	노포
黃土生	황토생
開朗的老人	명랑한 노인
老爺爺	노야야
老漁夫	노어부
郭主簿	곽주부
吳洛	오낙
王宏	왕굉
薛柄	설병
秦文洋	진문양
秦文祥	진문상
開封老人	개봉노인
洛陽老人	낙양노인
杭州老人	항주노인
沉默老人	과묵한 노인
張大童	장대동
老奶奶	노내내
王大娘	왕대낭
阿秋	아추
花婆婆	화파파
郁金花	욱금화
木仁誼	목인의
貪吃的商人	탐식하는노점상
皇甫逸	황보일
出師的飛白派弟子	출가한 비백파제자
飛白派-木師兄	비백파-목사형
飛白派剛入門弟子	비백파 신입 제자
迷路的男子	길 잃은 남자
飛白派小師叔	비백파소사숙
氣憤的武者	분개한 무사
慕容旭	모용욱
刀客的朋友	도객의 친구
新進弟子	신입제자
大弟子	대제자
段大寶	단대보
段二寶	단이보
段小寶	단소보
段宏昇	단홍성
剛到的刀客	방금 도착한 도객
失落的和尚	낙담한 중
王心梅	왕심매
聞人虎	문인호
端木雄	단목웅
公孫鶴	공손학
秦英	진영
秦家雜役	진가잡부
汪沁梅	왕심매
汪心莓	왕심매
汪芯莓	왕심매
汪沁莓	왕심매
林心梅	림심매
汪芯海	왕심해
農婦老婆	농부노파
翠花	취화
洛陽女子	낙양여인
趙玉	조옥
調皮的小鬼	개구쟁이 꼬마
愛玩的男孩	놀고 싶은 소년
黃宛童	황완동
小鬼頭	소귀두
阿瓜	아과
貪吃的小鬼	시끄러운아이
小李子	소이자
陸振熙	육진희
活潑的小女孩	활발한 소녀
小巢	소소
蘇唐	소당
平凡的小女孩	평범한 여자 아이
天真的小女孩	순진한 어린 소녀
小燕	소연
青龍幫幫主	청룡방방주
青龍幫弟子	청룡방제자
穹雲幫幫主	궁운방방주
穹雲幫弟子	궁운방제자
武林俠士	무림협사
三流劍客	삼류검객
江湖新秀	강호신수
江湖菜鳥	강호채조
少林和尚	소림화상
弘善	홍선
弘德	홍덕
水北生	수북생
百里屠	백이도
路鵬	노붕
賈方	가방
嘍囉	똘마니
摩尼教女弟子	마니교여제자
摩尼教男弟子	마니교남제자
吳成	오성
尹東	윤동
卓有成	탁유성
關東流	관동류
養豬的農夫	양돈 농부
梅聞才	매문재
李有志	이유지
送信人	송신인
吳信	오신
陳敦安	진돈안
劉羨陽	류이양
張玄明	장현명
劉溫	류온
王福	왕복
秦百科	진백과
唐閔	당민
齊修	제수
古辰雲	고진운
夏小婉	하소완
歐陽倩	구양천
薛婧芙	설정부
梅範池	매범지
皇姐	황제의 누이
潘玉鳳	반옥봉
看守者	간수
陸壬邦	육임방
大於	크다
小於	작다
波濤	파도
川流	천류
翻江	강초
定海	해정
倒浪	해일
攬江	강환
漩渦	나선
懸河	현하
電光急逝	전광급서
風掣雷行	풍체뢰행
雷霆下落	뇌정하락
絕塵滅影	절진멸영
五雷轟頂	오뢰굉정
雷動風行	뇌동풍행
雷積電蓄	뇌적전축
電流星散	전류성산
混元一氣	혼원일기
一氣三分	일기삼분
三分為九	삼분위구
劍極陰陽	검극음양
劍影無極	검영무극
人劍合一	인검합일
一劍天涯	일검천애
三元歸一	삼원귀일
天機單守	천기단수
天機巨門	천기거문
天機七傷	천기칠상
天機天相	천기천상
天機天同	천기천동
天機太陰	천기태음
天機天梁	천기천량
天機天府	천기천부
風飛勢	풍비세
吹沙勢	취사세
縮地勢	축지세
土爪勢	토조세
當頭勢	당두세
飛沙勢	비사세
破山勢	파산세
狂嵐勢	광람세
鬼泣	귀읍
斷首	단수
骨碎	골쇄
血煞	혈살
斬魄	참백
降陰	강음
無慘	무참
魂狩	혼수
蓄流	축류
長流	장류
噬流	서류
激流	격류
奔流	분류
漩流	선류
地流	지류
天流	천류
順風掃葉	순풍소엽
風捲殘雲	풍권잔운
太白仙醉	태백선취
五柳逸醉	오류일취
醉仙指路	취선지로
月映中原	월영중원
醉臥沙場	취와사장
小隱於林	소은어림
大隱於市	대은어시
神來一筆	신래일필
輕描淡寫	경묘담사
畫龍點睛	화룡점정
韜光養晦	도광양회
大智若愚	대지약우
深藏若虛	심장약허
點星火	점성화
徹地火	철지화
鼠竄火	서찬화
殞飛火	운비화
目眩火	목현화
燎原火	요원화
轉生火	전생화
地獄火	지옥화
破疾而出	파질이출
疾風如勁	질풍여경
風鳴鶴唳	풍명학려
疾風驟雨	질풍취우
風雲變色	풍운변색
陰風怒號	음풍노호
雷厲風行	뇌려풍행
虎嘯沖天	호소충천
天雷地火	천뢰지화
大鵬展翅	대붕전시
萬軍如雨	만군여우
風雲龍出	풍운용출
不破金剛	불파금강
直搗黃龍	직도황룡
天王降世	천왕강세
厚織護腕	가죽호완
鑲鐵護腕	양철호완
煉氣腕甲	기련완갑
金剛腕甲	금강완갑
冷玉環	냉옥환
金銀寶環	금은보환
龍爪手	용조수
虎貫手	호관수
加工厚織護腕	강화된 가죽호완
加工鑲鐵護腕	강화된 양철호완
加工煉氣腕甲	강화된 기련완갑
加工金剛腕甲	강화된 금강완갑
加工冷玉環	강화된 냉옥환
加工金銀寶環	강화된 금은보환
潛龍腕	잠룡완
伏虎腕	복호완
精工厚織護腕	정교한 가죽호완
精工鑲鐵護腕	정교한 양철호완
精工煉氣腕甲	정교한 기련완갑
精工金剛腕甲	정교한 금강완갑
精工冷玉環	정교한 냉옥환
精工金銀寶環	정교한 금은보환
白虎爪	백호조
長刀	장도
煉鋼刀	철도
波紋刀	파문도
映月刀	영월도
百辟古刀	백비도
名刀‧萬人敵	명도‧만인참
名刀‧天靈	명도‧천령
魔刀‧地煞	마도‧지살
凰尾刀	황미도
冥行刀	명행도
神虎長刀	신호장도
逆道寶刀	역도보도
血刀	혈도
唐傳橫刀	당전횡도
加工長刀	강화된 장도
加工煉鋼刀	강화된 철도
加工波紋刀	강화된 파문도
加工映月刀	강화된 영월도
重鑄百辟刀	중주백벽도
銘刀‧天地服誅	명도‧천지주살
魔刀‧鬼哭神嚎	마도‧귀곡신호
精工長刀	정교한 장도
精工煉鋼刀	정교한 철도
精工波紋刀	정교한 파문도
精工映月刀	정교한 영월도
長劍	장검
精鋼劍	청강검
龍泉劍	용천검
三清劍	삼청검
三清	삼청
隕星	성운
寒玉	빙옥
纏雲	전운
仙劍    선검
天罡	칠성
